date,amount,debit_amount,credit_amount,account_code,account_name,vendor,description,journal_ref,dr_cr_pattern
2024-04-19,727.0,727.0,0.0,6200,Utilities Expense,Quantum Software Inc,Reimbursement,JE-10031,non_standard
2024-10-13,3290.39,3290.39,0.0,5000,Cost of Goods Sold,Vector IT Solutions,Subscription renewal,JE-10032,non_standard
2024-09-09,1173.88,1173.88,0.0,6010,Payroll Tax Expense,Greenline Insurance,Recurring charge,JE-10033,standard
2024-03-15,2965.13,2965.13,0.0,6100,Rent Expense,Greenline Insurance,Equipment lease,JE-10034,non_standard
2024-04-25,1731.05,1731.05,0.0,6400,Professional Fees,Bridgepoint Travel,Supplies order,JE-10035,standard
2024-06-21,3644.82,3644.82,0.0,5100,Inventory Purchases,Apex Payroll Services,Monthly invoice,JE-10036,standard
2024-10-01,6966.29,6966.29,0.0,6000,Salaries Expense,Quantum Software Inc,Equipment lease,JE-10037,standard
2024-04-02,1090.29,1090.29,0.0,6900,Repairs & Maintenance,Greenline Insurance,Service rendered,JE-10038,non_standard
2024-11-01,50.0,50.0,0.0,6500,Travel & Entertainment,Acme Supplies Inc,Supplies order,JE-10039,non_standard
2024-06-16,462.16,462.16,0.0,6700,Software Subscriptions,Quantum Software Inc,Recurring charge,JE-10040,non_standard
2024-09-26,9638.8,9638.8,0.0,6600,Marketing Expense,Customer D Industries,Equipment lease,JE-10041,non_standard
2024-01-11,3091.79,3091.79,0.0,6100,Rent Expense,Pacific Office Co,Reimbursement,JE-10042,non_standard
2024-10-15,4746.09,4746.09,0.0,5100,Inventory Purchases,Citywide Rentals LLC,Subscription renewal,JE-10043,standard
2024-12-23,1049.89,1049.89,0.0,1200,Accounts Receivable,Apex Payroll Services,Equipment lease,JE-10044,standard
2024-05-09,383.17,383.17,0.0,6200,Utilities Expense,Bridgepoint Travel,Supplies order,JE-10045,non_standard
2024-06-03,320.4,320.4,0.0,6200,Utilities Expense,Greenline Insurance,Subscription renewal,JE-10046,non_standard
2024-12-26,7771.76,0.0,7771.76,4000,Sales Revenue,Standard Bank,Service rendered,JE-10047,standard
2024-02-29,345.05,345.05,0.0,6300,Office Supplies,Northstar Utilities,Subscription renewal,JE-10048,non_standard
2024-12-18,3284.62,3284.62,0.0,5000,Cost of Goods Sold,Bayview Logistics,Supplies order,JE-10049,non_standard
2024-08-29,2155.48,2155.48,0.0,6400,Professional Fees,Northstar Utilities,Supplies order,JE-10050,standard
2024-08-15,271.73,271.73,0.0,6900,Repairs & Maintenance,Vector IT Solutions,Reimbursement,JE-10051,non_standard
2024-12-12,3030.88,3030.88,0.0,6100,Rent Expense,Quantum Software Inc,Service rendered,JE-10052,non_standard
2024-11-20,6298.8,6298.8,0.0,5100,Inventory Purchases,Northstar Utilities,Equipment lease,JE-10053,standard
2024-04-07,8959.16,8959.16,0.0,5100,Inventory Purchases,Quantum Software Inc,Vendor payment,JE-10054,standard
2024-08-04,1614.3,1614.3,0.0,6400,Professional Fees,Acme Supplies Inc,Vendor payment,JE-10055,standard
2024-01-22,3241.73,3241.73,0.0,1200,Accounts Receivable,Vector IT Solutions,Subscription renewal,JE-10056,standard
2024-08-14,1699.4,0.0,1699.4,4100,Service Revenue,Reliant Repair Services,Subscription renewal,JE-10057,standard
2024-10-18,2810.15,2810.15,0.0,6400,Professional Fees,Citywide Rentals LLC,Vendor payment,JE-10058,standard
2024-05-03,2272.92,2272.92,0.0,6600,Marketing Expense,Northstar Utilities,Reimbursement,JE-10059,non_standard
2024-11-20,1210.28,1210.28,0.0,6600,Marketing Expense,Acme Supplies Inc,Vendor payment,JE-10060,non_standard
2024-07-31,2829.25,2829.25,0.0,6400,Professional Fees,Customer B LLC,Recurring charge,JE-10061,standard
2024-10-03,1348.13,1348.13,0.0,1200,Accounts Receivable,Quantum Software Inc,Service rendered,JE-10062,standard
2024-12-10,891.1,891.1,0.0,6010,Payroll Tax Expense,Standard Bank,Equipment lease,JE-10063,standard
2024-11-30,4850.0,4850.0,0.0,6200,Utilities Expense,Echo Services #1987,,JE-10064,non_standard
2024-01-24,10000.0,0.0,10000.0,2000,Accounts Payable,Customer C Holdings,Supplies order,JE-10065,standard
2024-10-09,5079.25,0.0,5079.25,4100,Service Revenue,Summit Marketing Group,Subscription renewal,JE-10066,standard
2024-03-12,2209.72,0.0,2209.72,4100,Service Revenue,Northstar Utilities,Supplies order,JE-10067,standard
2024-08-16,3049.62,0.0,3049.62,2000,Accounts Payable,Apex Payroll Services,Equipment lease,JE-10068,standard
2024-12-10,50.0,50.0,0.0,6600,Marketing Expense,Bayview Logistics,Service rendered,JE-10069,non_standard
2024-03-15,6883.03,6883.03,0.0,7000,Cash Disbursements,Citywide Rentals LLC,Equipment lease,JE-10070,standard
2024-10-17,306.39,306.39,0.0,6700,Software Subscriptions,Pacific Office Co,Routine purchase,JE-10071,non_standard
2024-02-26,1005.4,1005.4,0.0,6010,Payroll Tax Expense,Apex Payroll Services,Supplies order,JE-10072,standard
2024-10-15,302.96,302.96,0.0,6700,Software Subscriptions,Customer D Industries,Service rendered,JE-10073,non_standard
2024-06-21,9991.24,9991.24,0.0,5100,Inventory Purchases,Bridgepoint Travel,Reimbursement,JE-10074,standard
2024-07-19,693.38,693.38,0.0,6400,Professional Fees,Greenline Insurance,Vendor payment,JE-10075,standard
2024-12-09,266.11,266.11,0.0,6900,Repairs & Maintenance,Apex Payroll Services,Monthly invoice,JE-10076,non_standard
2024-05-17,518.88,518.88,0.0,6200,Utilities Expense,Pacific Office Co,Routine purchase,JE-10077,non_standard
2024-08-30,3285.58,0.0,3285.58,2000,Accounts Payable,Summit Marketing Group,Monthly invoice,JE-10078,standard
2024-11-19,714.1,714.1,0.0,6400,Professional Fees,Citywide Rentals LLC,Reimbursement,JE-10079,standard
2024-06-02,1874.27,0.0,1874.27,2000,Accounts Payable,Northstar Utilities,Routine purchase,JE-10080,standard
2024-07-02,3048.55,3048.55,0.0,7000,Cash Disbursements,Citywide Rentals LLC,Routine purchase,JE-10081,standard
2024-06-13,390.05,390.05,0.0,6200,Utilities Expense,Reliant Repair Services,Supplies order,JE-10082,non_standard
2024-06-06,505.1,505.1,0.0,6200,Utilities Expense,Greenline Insurance,Service rendered,JE-10083,non_standard
2024-05-15,194.52,194.52,0.0,6300,Office Supplies,Standard Bank,Reimbursement,JE-10084,non_standard
2024-12-19,270.11,270.11,0.0,6700,Software Subscriptions,Quantum Software Inc,Subscription renewal,JE-10085,non_standard
2024-11-12,2983.61,2983.61,0.0,6400,Professional Fees,Acme Supplies Inc,Supplies order,JE-10086,standard
2024-08-26,10973.54,10973.54,0.0,5100,Inventory Purchases,Bridgepoint Travel,Routine purchase,JE-10087,standard
2024-04-02,6655.33,0.0,6655.33,4000,Sales Revenue,Summit Marketing Group,Supplies order,JE-10088,standard
2024-12-19,5274.31,0.0,5274.31,4100,Service Revenue,Vector IT Solutions,Supplies order,JE-10089,standard
2024-02-27,7596.3,7596.3,0.0,6000,Salaries Expense,Bayview Logistics,Monthly invoice,JE-10090,standard
2024-02-12,6808.73,0.0,6808.73,4100,Service Revenue,Customer B LLC,Supplies order,JE-10091,standard
2024-11-12,4527.6,0.0,4527.6,4100,Service Revenue,Bayview Logistics,Service rendered,JE-10092,standard
2024-01-22,423.02,423.02,0.0,6700,Software Subscriptions,Customer B LLC,Monthly invoice,JE-10093,non_standard
2024-01-25,446.04,446.04,0.0,6200,Utilities Expense,Summit Marketing Group,,JE-10094,non_standard
2024-06-12,734.85,734.85,0.0,6500,Travel & Entertainment,Northstar Utilities,Recurring charge,JE-10095,non_standard
2024-03-04,7816.41,0.0,7816.41,4000,Sales Revenue,Apex Payroll Services,Equipment lease,JE-10096,standard
2024-04-04,9595.65,9595.65,0.0,6000,Salaries Expense,Acme Supplies Inc,Supplies order,JE-10097,standard
2024-03-30,1545.42,0.0,1545.42,2000,Accounts Payable,Greenline Insurance,Routine purchase,JE-10098,standard
2024-05-31,9620.49,9620.49,0.0,5000,Cost of Goods Sold,Customer C Holdings,Subscription renewal,JE-10099,non_standard
2024-08-02,465.11,465.11,0.0,6700,Software Subscriptions,Vector IT Solutions,Supplies order,JE-10100,non_standard
2024-04-01,745.4,745.4,0.0,6010,Payroll Tax Expense,Greenline Insurance,Equipment lease,JE-10101,standard
2024-05-27,50.0,0.0,50.0,2000,Accounts Payable,Bayview Logistics,Recurring charge,JE-10102,standard
2024-02-09,4384.93,4384.93,0.0,1200,Accounts Receivable,Summit Marketing Group,Supplies order,JE-10103,standard
2024-11-08,960.97,960.97,0.0,6500,Travel & Entertainment,Vector IT Solutions,Vendor payment,JE-10104,non_standard
2024-08-12,2031.88,2031.88,0.0,6600,Marketing Expense,Summit Marketing Group,Vendor payment,JE-10105,non_standard
2024-10-11,712.86,712.86,0.0,6010,Payroll Tax Expense,Apex Payroll Services,Equipment lease,JE-10106,standard
2024-12-04,6987.2,6987.2,0.0,5100,Inventory Purchases,Acme Supplies Inc,Routine purchase,JE-10107,standard
2024-04-05,2994.39,0.0,2994.39,2000,Accounts Payable,Reliant Repair Services,Reimbursement,JE-10108,standard
2024-05-16,50.0,50.0,0.0,6600,Marketing Expense,Customer A Corp,Vendor payment,JE-10109,non_standard
2024-06-24,1956.3,1956.3,0.0,5000,Cost of Goods Sold,Apex Payroll Services,Recurring charge,JE-10110,non_standard
2024-08-18,4064.89,0.0,4064.89,2000,Accounts Payable,Acme Supplies Inc,Monthly invoice,JE-10111,standard
2024-05-26,315.76,315.76,0.0,6700,Software Subscriptions,Pacific Office Co,Routine purchase,JE-10112,non_standard
2024-11-26,3274.5,3274.5,0.0,6400,Professional Fees,Reliant Repair Services,Monthly invoice,JE-10113,standard
2024-12-25,7340.37,7340.37,0.0,6000,Salaries Expense,Customer A Corp,Monthly invoice,JE-10114,standard
2024-11-26,3951.33,3951.33,0.0,6000,Salaries Expense,Reliant Repair Services,Reimbursement,JE-10115,standard
2024-03-28,4464.98,4464.98,0.0,1200,Accounts Receivable,Acme Supplies Inc,Monthly invoice,JE-10116,standard
2024-11-26,272.0,272.0,0.0,6900,Repairs & Maintenance,Bayview Logistics,Supplies order,JE-10117,non_standard
2024-01-25,6086.85,6086.85,0.0,5100,Inventory Purchases,Vector IT Solutions,Recurring charge,JE-10118,standard
2024-02-19,246.53,246.53,0.0,6700,Software Subscriptions,Customer B LLC,Reimbursement,JE-10119,non_standard
2024-06-13,796.78,796.78,0.0,6500,Travel & Entertainment,Standard Bank,Recurring charge,JE-10120,non_standard
2024-12-27,771.05,0.0,771.05,2000,Accounts Payable,Pacific Office Co,Routine purchase,JE-10121,standard
2024-10-03,303.85,303.85,0.0,7000,Cash Disbursements,Vector IT Solutions,Vendor payment,JE-10122,standard
2024-01-17,4941.62,4941.62,0.0,7000,Cash Disbursements,Bridgepoint Travel,Recurring charge,JE-10123,standard
2024-12-30,1499.44,1499.44,0.0,6010,Payroll Tax Expense,Apex Payroll Services,Reimbursement,JE-10124,standard
2024-09-05,501.13,501.13,0.0,6600,Marketing Expense,Customer B LLC,Reimbursement,JE-10125,non_standard
2024-02-15,575.07,575.07,0.0,6500,Travel & Entertainment,Vector IT Solutions,Subscription renewal,JE-10126,non_standard
2024-12-16,6459.82,0.0,6459.82,4000,Sales Revenue,Greenline Insurance,Equipment lease,JE-10127,standard
2024-10-07,4075.61,0.0,4075.61,4100,Service Revenue,Customer A Corp,Supplies order,JE-10128,standard
2024-01-23,3022.41,3022.41,0.0,6100,Rent Expense,Citywide Rentals LLC,Monthly invoice,JE-10129,non_standard
2024-08-14,3302.7,0.0,3302.7,4100,Service Revenue,Pacific Office Co,,JE-10130,standard
2024-08-31,931.86,931.86,0.0,6500,Travel & Entertainment,Greenline Insurance,Monthly invoice,JE-10131,non_standard
2024-12-02,527.65,527.65,0.0,6200,Utilities Expense,Vector IT Solutions,Supplies order,JE-10132,non_standard
2024-04-10,5414.82,5414.82,0.0,6000,Salaries Expense,Quantum Software Inc,Service rendered,JE-10133,standard
2024-07-29,1267.28,1267.28,0.0,6600,Marketing Expense,Summit Marketing Group,Recurring charge,JE-10134,non_standard
2024-12-02,437.93,437.93,0.0,6700,Software Subscriptions,Greenline Insurance,Vendor payment,JE-10135,non_standard
2024-08-13,5572.55,5572.55,0.0,6000,Salaries Expense,Reliant Repair Services,Routine purchase,JE-10136,non_standard
2024-04-12,3044.77,3044.77,0.0,6100,Rent Expense,Echo Services #1905,Vendor payment,JE-10137,non_standard
2024-03-27,3017.96,3017.96,0.0,6100,Rent Expense,Standard Bank,Supplies order,JE-10138,non_standard
2024-10-23,1955.8,0.0,1955.8,2000,Accounts Payable,Reliant Repair Services,Routine purchase,JE-10139,standard
2024-10-04,3055.78,3055.78,0.0,6100,Rent Expense,Reliant Repair Services,Subscription renewal,JE-10140,non_standard
2024-03-29,3127.77,3127.77,0.0,6100,Rent Expense,Greenline Insurance,Vendor payment,JE-10141,non_standard
2024-02-15,300.1,300.1,0.0,6200,Utilities Expense,Customer C Holdings,Service rendered,JE-10142,non_standard
2024-01-25,7604.51,7604.51,0.0,5100,Inventory Purchases,Northstar Utilities,Recurring charge,JE-10143,standard
2024-04-08,3006.7,3006.7,0.0,6100,Rent Expense,Bridgepoint Travel,Routine purchase,JE-10144,non_standard
2024-10-18,469.4,469.4,0.0,6700,Software Subscriptions,Vector IT Solutions,Equipment lease,JE-10145,non_standard
2024-05-08,743.2,743.2,0.0,6300,Office Supplies,Bayview Logistics,Reimbursement,JE-10146,non_standard
2024-04-01,6433.08,6433.08,0.0,6000,Salaries Expense,Pacific Office Co,Recurring charge,JE-10147,standard
2024-02-28,359.36,359.36,0.0,6500,Travel & Entertainment,Customer C Holdings,Vendor payment,JE-10148,non_standard
2024-01-15,568.65,568.65,0.0,6200,Utilities Expense,Customer A Corp,Reimbursement,JE-10149,non_standard
2024-08-22,980.06,980.06,0.0,7000,Cash Disbursements,Customer D Industries,Vendor payment,JE-10150,standard
2024-10-03,323.8,323.8,0.0,6300,Office Supplies,Bridgepoint Travel,Monthly invoice,JE-10151,non_standard
2024-07-10,1167.73,1167.73,0.0,6010,Payroll Tax Expense,Greenline Insurance,Subscription renewal,JE-10152,standard
2024-04-19,301.71,301.71,0.0,6200,Utilities Expense,Quantum Software Inc,Monthly invoice,JE-10153,non_standard
2024-10-15,772.53,772.53,0.0,6010,Payroll Tax Expense,Customer C Holdings,Reimbursement,JE-10154,standard
2024-07-08,2284.95,2284.95,0.0,6600,Marketing Expense,Bayview Logistics,Subscription renewal,JE-10155,non_standard
2024-10-17,2171.36,2171.36,0.0,6400,Professional Fees,Customer A Corp,Subscription renewal,JE-10156,standard
2024-05-27,113.97,113.97,0.0,6300,Office Supplies,Customer D Industries,Recurring charge,JE-10157,non_standard
2024-10-21,6287.25,6287.25,0.0,7000,Cash Disbursements,Vector IT Solutions,Reimbursement,JE-10158,standard
2024-02-16,2243.6,2243.6,0.0,7000,Cash Disbursements,Vector IT Solutions,Vendor payment,JE-10159,standard
2024-07-19,3124.61,3124.61,0.0,6100,Rent Expense,Bridgepoint Travel,Monthly invoice,JE-10160,non_standard
2024-10-25,3437.57,0.0,3437.57,4100,Service Revenue,Citywide Rentals LLC,Reimbursement,JE-10161,standard
2024-12-07,491.71,491.71,0.0,6900,Repairs & Maintenance,Standard Bank,Subscription renewal,JE-10162,non_standard
2024-02-09,2924.83,2924.83,0.0,6400,Professional Fees,Citywide Rentals LLC,Subscription renewal,JE-10163,standard
2024-12-23,604.83,604.83,0.0,6900,Repairs & Maintenance,Customer A Corp,Service rendered,JE-10164,non_standard
2024-01-23,1030.34,1030.34,0.0,6800,Insurance Expense,Pacific Office Co,Equipment lease,JE-10165,non_standard
2024-04-01,659.57,659.57,0.0,6900,Repairs & Maintenance,Apex Payroll Services,Recurring charge,JE-10166,non_standard
2024-01-22,298.56,298.56,0.0,6700,Software Subscriptions,Customer A Corp,Reimbursement,JE-10167,non_standard
2024-04-26,3049.12,3049.12,0.0,6400,Professional Fees,Bayview Logistics,Recurring charge,JE-10168,standard
2024-08-26,1076.88,1076.88,0.0,6600,Marketing Expense,Reliant Repair Services,Monthly invoice,JE-10169,non_standard
2024-11-22,6632.16,6632.16,0.0,5100,Inventory Purchases,Customer C Holdings,Equipment lease,JE-10170,standard
2024-11-11,4707.33,4707.33,0.0,5000,Cost of Goods Sold,Greenline Insurance,Supplies order,JE-10171,non_standard
2024-10-18,2731.89,2731.89,0.0,6500,Travel & Entertainment,Customer C Holdings,Supplies order,JE-10172,non_standard
2024-06-10,606.71,606.71,0.0,6500,Travel & Entertainment,Bridgepoint Travel,Equipment lease,JE-10173,non_standard
2024-05-28,963.18,0.0,963.18,2000,Accounts Payable,Bridgepoint Travel,Equipment lease,JE-10174,standard
2024-08-20,645.79,645.79,0.0,6500,Travel & Entertainment,Customer D Industries,Monthly invoice,JE-10175,non_standard
2024-02-29,2884.36,2884.36,0.0,7000,Cash Disbursements,Bridgepoint Travel,Recurring charge,JE-10176,standard
2024-04-30,1287.76,0.0,1287.76,4000,Sales Revenue,Customer B LLC,Recurring charge,JE-10177,standard
2024-08-21,4127.12,4127.12,0.0,5100,Inventory Purchases,Bridgepoint Travel,Supplies order,JE-10178,standard
2024-03-23,3019.44,3019.44,0.0,6100,Rent Expense,Quantum Software Inc,Recurring charge,JE-10179,non_standard
2024-11-15,696.82,696.82,0.0,6500,Travel & Entertainment,Reliant Repair Services,Routine purchase,JE-10180,non_standard
2024-04-05,1956.55,1956.55,0.0,6600,Marketing Expense,Customer C Holdings,Monthly invoice,JE-10181,non_standard
2024-11-08,1567.76,1567.76,0.0,6400,Professional Fees,Northstar Utilities,Reimbursement,JE-10182,standard
2024-12-16,709.57,709.57,0.0,6500,Travel & Entertainment,Bayview Logistics,Vendor payment,JE-10183,non_standard
2024-06-04,428.5,428.5,0.0,6500,Travel & Entertainment,Bridgepoint Travel,Supplies order,JE-10184,non_standard
2024-11-22,5846.1,5846.1,0.0,6000,Salaries Expense,Customer A Corp,Vendor payment,JE-10185,standard
2024-02-18,9850.0,0.0,9850.0,2000,Accounts Payable,Pinecone Partners #1990,,JE-10186,standard
2024-10-21,1075.95,1075.95,0.0,6500,Travel & Entertainment,Bayview Logistics,Vendor payment,JE-10187,non_standard
2024-12-10,3689.68,0.0,3689.68,4100,Service Revenue,Customer A Corp,Equipment lease,JE-10188,standard
2024-06-08,430.53,430.53,0.0,6200,Utilities Expense,Quantum Software Inc,Equipment lease,JE-10189,non_standard
2024-06-27,3765.29,3765.29,0.0,7000,Cash Disbursements,Customer D Industries,Vendor payment,JE-10190,standard
2024-07-23,1272.95,1272.95,0.0,6800,Insurance Expense,Customer B LLC,Vendor payment,JE-10191,non_standard
2024-01-22,916.84,916.84,0.0,6500,Travel & Entertainment,Northstar Utilities,Subscription renewal,JE-10192,non_standard
2024-10-03,6759.75,6759.75,0.0,6000,Salaries Expense,Reliant Repair Services,Subscription renewal,JE-10193,standard
2024-04-03,50.0,0.0,50.0,2000,Accounts Payable,Summit Marketing Group,Equipment lease,JE-10194,standard
2024-03-21,1770.52,0.0,1770.52,2000,Accounts Payable,Customer B LLC,Equipment lease,JE-10195,standard
2024-03-10,124.84,124.84,0.0,6900,Repairs & Maintenance,Apex Payroll Services,Equipment lease,JE-10196,non_standard
2024-11-01,3430.21,3430.21,0.0,1200,Accounts Receivable,Standard Bank,Reimbursement,JE-10197,standard
2024-04-26,5555.06,5555.06,0.0,5100,Inventory Purchases,Standard Bank,Monthly invoice,JE-10198,standard
2024-09-02,4490.82,0.0,4490.82,4000,Sales Revenue,Reliant Repair Services,Supplies order,JE-10199,standard
2024-11-02,403.79,403.79,0.0,6200,Utilities Expense,Quantum Software Inc,Reimbursement,JE-10200,non_standard
2024-07-08,2837.25,2837.25,0.0,6100,Rent Expense,Quantum Software Inc,Recurring charge,JE-10201,non_standard
2024-08-12,2175.27,2175.27,0.0,6400,Professional Fees,Northstar Utilities,Equipment lease,JE-10202,standard
2024-12-26,2138.58,2138.58,0.0,6400,Professional Fees,Pacific Office Co,Service rendered,JE-10203,standard
2024-07-31,646.28,646.28,0.0,6900,Repairs & Maintenance,Customer D Industries,Equipment lease,JE-10204,non_standard
2024-12-10,1330.52,1330.52,0.0,6600,Marketing Expense,Summit Marketing Group,Recurring charge,JE-10205,non_standard
2024-12-26,469.07,469.07,0.0,6900,Repairs & Maintenance,Customer A Corp,Routine purchase,JE-10206,non_standard
2024-07-26,1429.21,1429.21,0.0,6400,Professional Fees,Bayview Logistics,Vendor payment,JE-10207,standard
2024-05-15,189.04,189.04,0.0,6200,Utilities Expense,Citywide Rentals LLC,Service rendered,JE-10208,non_standard
2024-12-14,4790.3,4790.3,0.0,6000,Salaries Expense,Customer B LLC,Vendor payment,JE-10209,standard
2024-08-08,2719.66,2719.66,0.0,6600,Marketing Expense,Customer D Industries,Supplies order,JE-10210,non_standard
2024-03-08,212.53,212.53,0.0,6700,Software Subscriptions,Bridgepoint Travel,Equipment lease,JE-10211,non_standard
2024-07-31,283.37,283.37,0.0,6900,Repairs & Maintenance,Summit Marketing Group,Service rendered,JE-10212,non_standard
2024-03-08,1975.77,0.0,1975.77,4100,Service Revenue,Bridgepoint Travel,Equipment lease,JE-10213,standard
2024-10-10,4373.51,4373.51,0.0,5000,Cost of Goods Sold,Customer C Holdings,Monthly invoice,JE-10214,non_standard
2024-11-15,1504.62,1504.62,0.0,6400,Professional Fees,Bridgepoint Travel,Monthly invoice,JE-10215,standard
2024-04-21,340.67,340.67,0.0,6600,Marketing Expense,Northstar Utilities,Service rendered,JE-10216,non_standard
2024-01-09,3063.87,0.0,3063.87,2000,Accounts Payable,Standard Bank,Service rendered,JE-10217,standard
2024-03-07,597.16,597.16,0.0,6700,Software Subscriptions,Reliant Repair Services,Subscription renewal,JE-10218,non_standard
2024-07-21,774.51,0.0,774.51,2000,Accounts Payable,Pacific Office Co,Subscription renewal,JE-10219,standard
2024-05-01,302.27,302.27,0.0,6700,Software Subscriptions,Standard Bank,Supplies order,JE-10220,non_standard
2024-06-23,993.94,993.94,0.0,6800,Insurance Expense,Standard Bank,Supplies order,JE-10221,non_standard
2024-07-21,6716.26,6716.26,0.0,5100,Inventory Purchases,Quantum Software Inc,Recurring charge,JE-10222,standard
2024-06-14,1531.43,1531.43,0.0,6400,Professional Fees,Apex Payroll Services,Monthly invoice,JE-10223,standard
2024-11-04,2786.52,2786.52,0.0,6400,Professional Fees,Pacific Office Co,Vendor payment,JE-10224,standard
2024-04-29,9942.71,9942.71,0.0,6900,Repairs & Maintenance,Summit Marketing Group,Vendor payment,JE-10225,non_standard
2024-03-11,6522.1,6522.1,0.0,1200,Accounts Receivable,Quantum Software Inc,Equipment lease,JE-10226,standard
2024-08-14,50.0,50.0,0.0,6900,Repairs & Maintenance,Customer C Holdings,Service rendered,JE-10227,non_standard
2024-07-30,2809.27,2809.27,0.0,7000,Cash Disbursements,Quantum Software Inc,Recurring charge,JE-10228,standard
2024-04-24,7630.66,7630.66,0.0,1200,Accounts Receivable,Northstar Utilities,Service rendered,JE-10229,standard
2024-04-07,9514.1,9514.1,0.0,6400,Professional Fees,Greenline Insurance,Subscription renewal,JE-10230,standard
2024-02-07,1644.4,1644.4,0.0,6010,Payroll Tax Expense,Customer C Holdings,Reimbursement,JE-10231,standard
2024-12-12,1445.45,1445.45,0.0,6400,Professional Fees,Citywide Rentals LLC,Recurring charge,JE-10232,standard
2024-06-16,1103.35,1103.35,0.0,6500,Travel & Entertainment,Customer D Industries,Subscription renewal,JE-10233,non_standard
2024-08-12,1257.71,1257.71,0.0,6600,Marketing Expense,Customer B LLC,Reimbursement,JE-10234,non_standard
2024-07-21,870.27,870.27,0.0,6600,Marketing Expense,Standard Bank,Reimbursement,JE-10235,non_standard
2024-09-23,4464.07,4464.07,0.0,5100,Inventory Purchases,Acme Supplies Inc,Recurring charge,JE-10236,standard
2024-02-02,4563.18,0.0,4563.18,4100,Service Revenue,Summit Marketing Group,Reimbursement,JE-10237,standard
